Filename,Touches
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10
rootbeerlib/src/main/cpp/toolChecker.cpp,1
rootbeerlib/src/main/cpp/toolChecker.h,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,24
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,5
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,13
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,53
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,12
